"Modified","CVE-2017-14797","CWE-326",,,,,,,,,"nvd@nist.gov",7.5,"HIGH","CVSS:3.0/AV:A/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H","nvd@nist.gov",7.9,HIGH,"AV:A/AC:M/Au:N/C:C/I:C/A:C","cpe:2.3:o:philips:hue_bridge_bsb002_firmware:1707040932:*:*:*:*:*:*:*" "cpe:2.3:h:philips:hue_bridge_bsb002:-:*:*:*:*:*:*:*"
"Modified","CVE-2017-14941","CWE-200",,,,,,,,,"nvd@nist.gov",6.5,"MEDIUM","CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N","nvd@nist.gov",4,LOW,"AV:N/AC:L/Au:S/C:P/I:N/A:N","cpe:2.3:a:jaspersoft:jasperreports:4.7.0:*:*:*:*:*:*:*"
"Modified","CVE-2017-14954","CWE-200",,,,,,,,,"nvd@nist.gov",5.5,"MEDIUM","CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N","nvd@nist.gov",2.1,LOW,"AV:L/AC:L/Au:N/C:P/I:N/A:N","cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*"
"Modified","CVE-2017-14955","CWE-200" "CWE-362",,,,,"nvd@nist.gov",5.9,"MEDIUM","CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N",,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:P/I:N/A:N","cpe:2.3:a:checkmk:checkmk:1.2.3:i6:*:*:*:*:*:*" "cpe:2.3:a:checkmk:checkmk:1.2.3:i7:*:*:*:*:*:*" "cpe:2.3:a:checkmk:checkmk:1.2.4:b1:*:*:*:*:*:*" "cpe:2.3:a:checkmk:checkmk:1.2.5:i1:*:*:*:*:*:*" "cpe:2.3:a:checkmk:checkmk:1.2.5:i2:*:*:*:*:*:*" "cpe:2.3:a:checkmk:checkmk:1.2.5:i3:*:*:*:*:*:*" "cpe:2.3:a:checkmk:checkmk:1.2.5:i4:*:*:*:*:*:*" "cpe:2.3:a:checkmk:checkmk:1.2.5:i5:*:*:*:*:*:*" "cpe:2.3:a:checkmk:checkmk:1.2.5:i6:*:*:*:*:*:*" "cpe:2.3:a:checkmk:checkmk:1.2.6:b1:*:*:*:*:*:*" "cpe:2.3:a:checkmk:checkmk:1.2.6:b2:*:*:*:*:*:*" "cpe:2.3:a:checkmk:checkmk:1.2.6:p13:*:*:*:*:*:*" "cpe:2.3:a:checkmk:checkmk:1.2.7:i1:*:*:*:*:*:*" "cpe:2.3:a:checkmk:checkmk:1.2.7:i1p2:*:*:*:*:*:*" "cpe:2.3:a:checkmk:checkmk:1.2.7:i2:*:*:*:*:*:*" "cpe:2.3:a:checkmk:checkmk:1.2.7:i3:*:*:*:*:*:*" "cpe:2.3:a:checkmk:checkmk:1.2.7:i4:*:*:*:*:*:*" "cpe:2.3:a:checkmk:checkmk:1.2.8:p18:*:*:*:*:*:*" "cpe:2.3:a:checkmk:checkmk:1.2.8:p25:*:*:*:*:*:*"
"Modified","CVE-2017-14957","CWE-79",,,,,,,,,"nvd@nist.gov",6.1,"MEDIUM","CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N","nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:P/A:N","cpe:2.3:a:blogotext_project:blogotext:*:*:*:*:*:*:*:*"
"Modified","CVE-2017-14958","CWE-434",,,,,,,,,"nvd@nist.gov",7.2,"HIGH","CVSS:3.0/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H","nvd@nist.gov",6.5,MEDIUM,"AV:N/AC:L/Au:S/C:P/I:P/A:P","cpe:2.3:a:pivotx:pivotx:2.3.11:*:*:*:*:*:*:*"
"Modified","CVE-2017-14970","CWE-772",,,,,,,,,"nvd@nist.gov",5.9,"MEDIUM","CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H","nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:N/A:P","cpe:2.3:a:openvswitch:openvswitch:*:*:*:*:*:*:*:*"
"Modified","CVE-2017-14974","CWE-476",,,,,,,,,"nvd@nist.gov",5.5,"MEDIUM","CVSS:3.0/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H","nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:N/A:P","cpe:2.3:a:gnu:binutils:2.29:*:*:*:*:*:*:*"
"Modified","CVE-2017-14975","CWE-476",,,,,,,,,"nvd@nist.gov",7.5,"HIGH","CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H","nvd@nist.gov",5,MEDIUM,"AV:N/AC:L/Au:N/C:N/I:N/A:P","cpe:2.3:a:freedesktop:poppler:0.59.0:*:*:*:*:*:*:*" "cpe:2.3:o:debian:debian_linux:7.0:*:*:*:*:*:*:*" "cpe:2.3:o:debian:debian_linux:8.0:*:*:*:*:*:*:*" "cpe:2.3:o:debian:debian_linux:9.0:*:*:*:*:*:*:*"
"Modified","CVE-2017-14976","CWE-125",,,,,,,,,"nvd@nist.gov",7.5,"HIGH","CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H","nvd@nist.gov",5,MEDIUM,"AV:N/AC:L/Au:N/C:N/I:N/A:P","cpe:2.3:a:freedesktop:poppler:0.59.0:*:*:*:*:*:*:*" "cpe:2.3:o:debian:debian_linux:7.0:*:*:*:*:*:*:*" "cpe:2.3:o:debian:debian_linux:8.0:*:*:*:*:*:*:*" "cpe:2.3:o:debian:debian_linux:9.0:*:*:*:*:*:*:*"
"Modified","CVE-2017-14977","CWE-476",,,,,,,,,"nvd@nist.gov",7.5,"HIGH","CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H","nvd@nist.gov",5,MEDIUM,"AV:N/AC:L/Au:N/C:N/I:N/A:P","cpe:2.3:a:freedesktop:poppler:0.59.0:*:*:*:*:*:*:*" "cpe:2.3:o:debian:debian_linux:7.0:*:*:*:*:*:*:*" "cpe:2.3:o:debian:debian_linux:8.0:*:*:*:*:*:*:*" "cpe:2.3:o:debian:debian_linux:9.0:*:*:*:*:*:*:*"
"Modified","CVE-2014-0043","CWE-200",,,,,,,,,"nvd@nist.gov",5.3,"MEDIUM","CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N","nvd@nist.gov",5,MEDIUM,"AV:N/AC:L/Au:N/C:P/I:N/A:N","cpe:2.3:a:apache:wicket:1.5.10:*:*:*:*:*:*:*" "cpe:2.3:a:apache:wicket:6.13.0:*:*:*:*:*:*:*"
"Modified","CVE-2015-3321","CWE-264",,,,,,,,,"nvd@nist.gov",6.7,"MEDIUM","CVSS:3.0/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H","nvd@nist.gov",7.2,HIGH,"AV:L/AC:L/Au:N/C:C/I:C/A:C","cpe:2.3:a:lenovo:fingerprint_manager:*:*:*:*:*:*:*:*"
"Modified","CVE-2015-6576","CWE-94",,,,,,,,,"nvd@nist.gov",8.8,"HIGH","CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H","nvd@nist.gov",6.5,MEDIUM,"AV:N/AC:L/Au:S/C:P/I:P/A:P","cpe:2.3:a:atlassian:bamboo:*:*:*:*:*:*:*:*" "cpe:2.3:a:atlassian:bamboo:*:*:*:*:*:*:*:*"
"Modified","CVE-2015-6971","CWE-77",,,,,,,,,"nvd@nist.gov",7.8,"HIGH","CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H","nvd@nist.gov",7.2,HIGH,"AV:L/AC:L/Au:N/C:C/I:C/A:C","cpe:2.3:a:lenovo:system_update:*:*:*:*:*:*:*:*"
