"Modified","CVE-2014-7198","CWE-352",,,,,,,,,"nvd@nist.gov",8.8,"HIGH","CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H","nvd@nist.gov",6.8,MEDIUM,"AV:N/AC:M/Au:N/C:P/I:P/A:P","cpe:2.3:a:openmicroscopy:omero:*:*:*:*:*:*:*:*"
"Modified","CVE-2019-1002100","CWE-770",,,,,"nvd@nist.gov",6.5,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H","josh@bress.net",6.5,"MEDIUM","CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H","nvd@nist.gov",4,LOW,"AV:N/AC:L/Au:S/C:N/I:N/A:P","cpe:2.3:a:kubernetes:kubernetes:*:*:*:*:*:*:*:*" "cpe:2.3:a:kubernetes:kubernetes:*:*:*:*:*:*:*:*" "cpe:2.3:a:kubernetes:kubernetes:*:*:*:*:*:*:*:*" "cpe:2.3:a:redhat:openshift_container_platform:3.10:*:*:*:*:*:*:*" "cpe:2.3:a:redhat:openshift_container_platform:3.11:*:*:*:*:*:*:*"
"Modified","CVE-2019-1002101","CWE-59",,,,,,,,,"josh@bress.net" "nvd@nist.gov",6.4 5.5,"MEDIUM" "MEDIUM","CVSS:3.0/AV:N/AC:H/PR:H/UI:R/S:U/C:H/I:H/A:H" "CVSS:3.0/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:H/A:N","nvd@nist.gov",5.8,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:P/A:P","cpe:2.3:a:kubernetes:kubernetes:*:*:*:*:*:*:*:*" "cpe:2.3:a:kubernetes:kubernetes:*:*:*:*:*:*:*:*" "cpe:2.3:a:kubernetes:kubernetes:*:*:*:*:*:*:*:*" "cpe:2.3:a:kubernetes:kubernetes:1.14.0:*:*:*:*:*:*:*" "cpe:2.3:a:redhat:openshift_container_platform:3.9:*:*:*:*:*:*:*" "cpe:2.3:a:redhat:openshift_container_platform:3.10:*:*:*:*:*:*:*" "cpe:2.3:a:redhat:openshift_container_platform:3.11:*:*:*:*:*:*:*"
"Modified","CVE-2017-16774","CWE-79" "CWE-79",,,,,,,,,"security@synology.com" "nvd@nist.gov",6.5 5.4,"MEDIUM" "MEDIUM","CVSS:3.0/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:L" "CVSS:3.0/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N","nvd@nist.gov",3.5,LOW,"AV:N/AC:M/Au:S/C:N/I:P/A:N","cpe:2.3:a:synology:diskstation_manager:*:*:*:*:*:*:*:*"
"Modified","CVE-2017-16775","CWE-1021" "CWE-20",,,,,,,,,"security@synology.com" "nvd@nist.gov",7.1 6.1,"HIGH" "MEDIUM","CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:L" "CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N","nvd@nist.gov",5.8,MEDIUM,"AV:N/AC:M/Au:N/C:P/I:P/A:N","cpe:2.3:a:synology:sso_server:*:*:*:*:*:*:*:*"
"Modified","CVE-2018-13283","CWE-671" "NVD-CWE-noinfo",,,,,,,,,"security@synology.com" "nvd@nist.gov",8.8 7.4,"HIGH" "HIGH","CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H" "CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:N","nvd@nist.gov",5.8,MEDIUM,"AV:N/AC:M/Au:N/C:P/I:P/A:N","cpe:2.3:a:synology:ssl_vpn_client:*:*:*:*:*:*:*:*"
"Modified","CVE-2018-13284","CWE-78" "CWE-78",,,,,,,,,"security@synology.com" "nvd@nist.gov",7.5 8.8,"HIGH" "HIGH","CVSS:3.0/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H" "CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H","nvd@nist.gov",9,HIGH,"AV:N/AC:L/Au:S/C:C/I:C/A:C","cpe:2.3:a:synology:diskstation_manager:*:*:*:*:*:*:*:*" "cpe:2.3:a:synology:diskstation_manager:*:*:*:*:*:*:*:*" "cpe:2.3:a:synology:diskstation_manager:*:*:*:*:*:*:*:*" "cpe:2.3:a:synology:diskstation_manager:*:*:*:*:*:*:*:*"
"Modified","CVE-2018-13285","CWE-78" "CWE-78",,,,,,,,,"security@synology.com" "nvd@nist.gov",7.5 8.8,"HIGH" "HIGH","CVSS:3.0/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H" "CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H","nvd@nist.gov",9,HIGH,"AV:N/AC:L/Au:S/C:C/I:C/A:C","cpe:2.3:a:synology:router_manager:*:*:*:*:*:*:*:*"
"Modified","CVE-2018-13286","CWE-276" "CWE-276",,,,,,,,,"security@synology.com" "nvd@nist.gov",6.5 6.5,"MEDIUM" "MEDIUM","CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N" "CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N","nvd@nist.gov",4,LOW,"AV:N/AC:L/Au:S/C:P/I:N/A:N","cpe:2.3:a:synology:diskstation_manager:*:*:*:*:*:*:*:*" "cpe:2.3:a:synology:diskstation_manager:*:*:*:*:*:*:*:*" "cpe:2.3:a:synology:diskstation_manager:*:*:*:*:*:*:*:*" "cpe:2.3:a:synology:diskstation_manager:*:*:*:*:*:*:*:*"
"Modified","CVE-2018-13287","CWE-276" "CWE-276",,,,,,,,,"security@synology.com" "nvd@nist.gov",6.5 6.5,"MEDIUM" "MEDIUM","CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N" "CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N","nvd@nist.gov",4,LOW,"AV:N/AC:L/Au:S/C:P/I:N/A:N","cpe:2.3:a:synology:router_manager:*:*:*:*:*:*:*:*"
