"Modified","CVE-2013-10001","CWE-295" "CWE-295",,,,,"cna@vuldb.com" "nvd@nist.gov",4.8 5.9,"MEDIUM" "MEDIUM","CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:N" "CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N",,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:P/I:N/A:N","cpe:2.3:a:htc:mail:5.2.2222282614.528614.528614:*:*:*:*:*:*:*" "cpe:2.3:a:htc:sdk_api:4.25:*:*:*:*:*:*:*" "cpe:2.3:h:htc:one_sv:4.0.4:*:*:*:*:android:*:*" "cpe:2.3:h:htc:sense:4.1:*:*:*:*:*:*:*" "cpe:2.3:a:htc:mail:5.5.550363:*:*:*:*:*:*:*" "cpe:2.3:a:htc:sdk_api:4.63:*:*:*:*:*:*:*" "cpe:2.3:h:htc:one_x:4.1.1:*:*:*:*:android:*:*" "cpe:2.3:h:htc:sense:4\\+:*:*:*:*:*:*:*"
"Modified","CVE-2013-10002","CWE-798" "CWE-798",,,,,"cna@vuldb.com" "nvd@nist.gov",6.5 9.1,"MEDIUM" "CRITICAL","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N" "CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N",,,,,"nvd@nist.gov",6.4,MEDIUM,"AV:N/AC:L/Au:N/C:P/I:P/A:N","cpe:2.3:a:telecomsoftware:samwin_agent:5.01.19.06:*:*:*:*:*:*:*" "cpe:2.3:a:telecomsoftware:samwin_contact_center:5.1:*:*:*:*:*:*:*"
"Modified","CVE-2013-10003","CWE-89" "CWE-89",,,,,"cna@vuldb.com" "nvd@nist.gov",6.5 9.8,"MEDIUM" "CRITICAL","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N" "CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:telecomsoftware:samwin_agent:5.01.19.06:*:*:*:*:*:*:*" "cpe:2.3:a:telecomsoftware:samwin_contact_center:5.1:*:*:*:*:*:*:*"
"Modified","CVE-2013-10004","CWE-287" "CWE-307",,,,,"cna@vuldb.com" "nvd@nist.gov",6.5 9.8,"MEDIUM" "CRITICAL","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N" "CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",5,MEDIUM,"AV:N/AC:L/Au:N/C:P/I:N/A:N","cpe:2.3:a:telecomsoftware:samwin_agent:5.01.19.06:*:*:*:*:*:*:*" "cpe:2.3:a:telecomsoftware:samwin_contact_center:5.1:*:*:*:*:*:*:*"
"Modified","CVE-2014-125001","CWE-269" "CWE-269",,,,,"cna@vuldb.com" "nvd@nist.gov",8.1 8.8,"HIGH" "HIGH","CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H" "CVSS:3.1/AV:A/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",8.3,HIGH,"AV:A/AC:L/Au:N/C:C/I:C/A:C","cpe:2.3:o:cardosystems:scala_rider_q3_firmware:-:*:*:*:*:*:*:*" "cpe:2.3:h:cardosystems:scala_rider_q3:-:*:*:*:*:*:*:*"
"Modified","CVE-2018-25033","CWE-125",,,,,"nvd@nist.gov",8.1,"HIGH","CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:H",,,,,"nvd@nist.gov",5.8,MEDIUM,"AV:N/AC:M/Au:N/C:P/I:N/A:P","cpe:2.3:a:admesh_project:admesh:*:*:*:*:*:*:*:*" "cpe:2.3:o:debian:debian_linux:9.0:*:*:*:*:*:*:*"
"Modified","CVE-2019-12254","CWE-287",,,,,"info@cert.vde.com",9.8,"CRITICAL","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",10,CRITICAL,"AV:N/AC:L/Au:N/C:C/I:C/A:C","cpe:2.3:o:gok:smartbox_4_lan_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:gok:smartbox_4_lan:-:*:*:*:*:*:*:*" "cpe:2.3:o:gok:smartbox_4_lan_pro_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:gok:smartbox_4_lan_pro:-:*:*:*:*:*:*:*" "cpe:2.3:o:tecson:lx-q-net_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:tecson:lx-q-net:-:*:*:*:*:*:*:*" "cpe:2.3:o:tecson:lx-net_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:tecson:lx-net:-:*:*:*:*:*:*:*" "cpe:2.3:o:tecson:e-litro_net_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:tecson:e-litro_net:-:*:*:*:*:*:*:*"
"Modified","CVE-2019-25060","CWE-284",,,,,"nvd@nist.gov",5.3,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N",,,,,"nvd@nist.gov",5,MEDIUM,"AV:N/AC:L/Au:N/C:P/I:N/A:N","cpe:2.3:a:wpgraphql:wpgraphql:*:*:*:*:*:wordpress:*:*"
"Modified","CVE-2019-25061","CWE-335",,,,,"nvd@nist.gov",7.5,"HIGH","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N",,,,,"nvd@nist.gov",5,MEDIUM,"AV:N/AC:L/Au:N/C:P/I:N/A:N","cpe:2.3:a:random_password_generator_project:random_password_generator:*:*:*:*:*:ruby:*:*"
"Modified","CVE-2020-14496","CWE-275" "NVD-CWE-noinfo",,,,,"ics-cert@hq.dhs.gov" "nvd@nist.gov",8.3 9.8,"HIGH" "CRITICAL","CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:C/C:H/I:H/A:H" "CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:mitsubishielectric:cpu_module_logging_configuration_tool:*:*:*:*:*:*:*:*" "cpe:2.3:a:mitsubishielectric:cw_configurator:*:*:*:*:*:*:*:*" "cpe:2.3:a:mitsubishielectric:data_transfer:*:*:*:*:*:*:*:*" "cpe:2.3:a:mitsubishielectric:em_configurator:*:*:*:*:*:*:*:*" "cpe:2.3:a:mitsubishielectric:ezsocket:*:*:*:*:*:*:*:*" "cpe:2.3:a:mitsubishielectric:fr_configurator2:*:*:*:*:*:*:*:*" "cpe:2.3:a:mitsubishielectric:gt_designer3:*:*:*:*:*:*:*:*" "cpe:2.3:a:mitsubishielectric:gt_softgot1000:*:*:*:*:*:*:*:*" "cpe:2.3:a:mitsubishielectric:gt_softgot2000:*:*:*:*:*:*:*:*" "cpe:2.3:a:mitsubishielectric:gx_logviewer:*:*:*:*:*:*:*:*" "cpe:2.3:a:mitsubishielectric:gx_works2:*:*:*:*:*:*:*:*" "cpe:2.3:a:mitsubishielectric:gx_works3:*:*:*:*:*:*:*:*" "cpe:2.3:a:mitsubishielectric:m_commdtm-hart:*:*:*:*:*:*:*:*" "cpe:2.3:a:mitsubishielectric:m_commdtm-io-link:*:*:*:*:*:*:*:*" "cpe:2.3:a:mitsubishielectric:melfa-works:*:*:*:*:*:*:*:*" "cpe:2.3:a:mitsubishielectric:melsoft_fielddeviceconfigurator:*:*:*:*:*:*:*:*" "cpe:2.3:a:mitsubishielectric:melsoft_navigator:*:*:*:*:*:*:*:*" "cpe:2.3:a:mitsubishielectric:mh11_settingtool_version2:*:*:*:*:*:*:*:*" "cpe:2.3:a:mitsubishielectric:motorizer:*:*:*:*:*:*:*:*" "cpe:2.3:a:mitsubishielectric:mr_configurator2:*:*:*:*:*:*:*:*" "cpe:2.3:a:mitsubishielectric:mt_works2:*:*:*:*:*:*:*:*" "cpe:2.3:a:mitsubishielectric:mx_component:*:*:*:*:*:*:*:*" "cpe:2.3:a:mitsubishielectric:network_interface_board_cc-link_ver.2_utility:*:*:*:*:*:*:*:*" "cpe:2.3:a:mitsubishielectric:network_interface_board_cc_ie_control_utility:*:*:*:*:*:*:*:*" "cpe:2.3:a:mitsubishielectric:network_interface_board_cc_ie_field_utility:*:*:*:*:*:*:*:*" "cpe:2.3:a:mitsubishielectric:network_interface_board_mneth_utility:*:*:*:*:*:*:*:*" "cpe:2.3:a:mitsubishielectric:px_developer:*:*:*:*:*:*:*:*" "cpe:2.3:a:mitsubishielectric:rt_toolbox2:*:*:*:*:*:*:*:*" "cpe:2.3:a:mitsubishielectric:rt_toolbox3:*:*:*:*:*:*:*:*"
"Modified","CVE-2020-16209","CWE-121",,,,,"ics-cert@hq.dhs.gov" "nvd@nist.gov",9.8 9.8,"CRITICAL" "CRITICAL","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H" "CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",10,CRITICAL,"AV:N/AC:L/Au:N/C:C/I:C/A:C","cpe:2.3:a:fieldcommgroup:hipserver:3.6.1:*:*:*:*:*:*:*" "cpe:2.3:o:fieldcommgroup:hart-ip_developer_kit_firmware:1.0.0.0:*:*:*:*:*:*:*" "cpe:2.3:h:fieldcommgroup:hart-ip_developer_kit:-:*:*:*:*:*:*:*"
"Modified","CVE-2020-16231","CWE-916" "CWE-916",,,,,"ics-cert@hq.dhs.gov" "nvd@nist.gov",7.2 8.8,"HIGH" "HIGH","CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H" "CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",6.5,MEDIUM,"AV:N/AC:L/Au:S/C:P/I:P/A:P","cpe:2.3:o:bachmann:mx207_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:bachmann:mx207:-:*:*:*:*:*:*:*" "cpe:2.3:o:bachmann:mx213_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:bachmann:mx213:-:*:*:*:*:*:*:*" "cpe:2.3:o:bachmann:mx220_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:bachmann:mx220:-:*:*:*:*:*:*:*" "cpe:2.3:o:bachmann:mc206_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:bachmann:mc206:-:*:*:*:*:*:*:*" "cpe:2.3:o:bachmann:mc212_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:bachmann:mc212:-:*:*:*:*:*:*:*" "cpe:2.3:o:bachmann:mc220_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:bachmann:mc220:-:*:*:*:*:*:*:*" "cpe:2.3:o:bachmann:mh230_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:bachmann:mh230:-:*:*:*:*:*:*:*" "cpe:2.3:o:bachmann:mc205_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:bachmann:mc205:-:*:*:*:*:*:*:*" "cpe:2.3:o:bachmann:mc210_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:bachmann:mc210:-:*:*:*:*:*:*:*" "cpe:2.3:o:bachmann:mh212_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:bachmann:mh212:-:*:*:*:*:*:*:*" "cpe:2.3:o:bachmann:me203_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:bachmann:me203:-:*:*:*:*:*:*:*" "cpe:2.3:o:bachmann:cs200_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:bachmann:cs200:-:*:*:*:*:*:*:*" "cpe:2.3:o:bachmann:mp213_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:bachmann:mp213:-:*:*:*:*:*:*:*" "cpe:2.3:o:bachmann:mp226_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:bachmann:mp226:-:*:*:*:*:*:*:*" "cpe:2.3:o:bachmann:mpc240_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:bachmann:mpc240:-:*:*:*:*:*:*:*" "cpe:2.3:o:bachmann:mpc265_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:bachmann:mpc265:-:*:*:*:*:*:*:*" "cpe:2.3:o:bachmann:mpc270_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:bachmann:mpc270:-:*:*:*:*:*:*:*" "cpe:2.3:o:bachmann:mpc293_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:bachmann:mpc293:-:*:*:*:*:*:*:*" "cpe:2.3:o:bachmann:mpe270_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:bachmann:mpe270:-:*:*:*:*:*:*:*" "cpe:2.3:o:bachmann:cpc210_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:bachmann:cpc210:-:*:*:*:*:*:*:*"
"Modified","CVE-2020-16235","CWE-326" "CWE-326",,,,,"ics-cert@hq.dhs.gov" "nvd@nist.gov",3.8 6.5,"LOW" "MEDIUM","CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:C/C:L/I:N/A:N" "CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:N/A:N",,,,,"nvd@nist.gov",2.1,LOW,"AV:L/AC:L/Au:N/C:P/I:N/A:N","cpe:2.3:a:emerson:openenterprise_scada_server:*:*:*:*:*:*:*:*"
"Modified","CVE-2020-19212","CWE-89",,,,,"nvd@nist.gov",4.9,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:N/A:N",,,,,"nvd@nist.gov",4,LOW,"AV:N/AC:L/Au:S/C:P/I:N/A:N","cpe:2.3:a:piwigo:piwigo:2.9.5:*:*:*:*:*:*:*"
