"Modified","CVE-2014-1405","CWE-20",,,,,,,,,,,,,"nvd@nist.gov",5.8,MEDIUM,"AV:N/AC:M/Au:N/C:P/I:P/A:N","cpe:2.3:o:conceptronic:c54apm_firmware:1.26:*:*:*:*:*:*:*" "cpe:2.3:h:conceptronic:c54apm:v2:*:*:*:*:*:*:*"
"Modified","CVE-2014-1406","CWE-20",,,,,,,,,,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:P/A:N","cpe:2.3:o:conceptronic:c54apm_firmware:1.26:*:*:*:*:*:*:*" "cpe:2.3:h:conceptronic:c54apm:v2:*:*:*:*:*:*:*"
"Modified","CVE-2014-1407","CWE-79",,,,,,,,,,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:P/A:N","cpe:2.3:o:conceptronic:c54apm_firmware:1.26:*:*:*:*:*:*:*" "cpe:2.3:h:conceptronic:c54apm:v2:*:*:*:*:*:*:*"
"Modified","CVE-2014-1408","CWE-255",,,,,,,,,,,,,"nvd@nist.gov",7.8,HIGH,"AV:N/AC:L/Au:N/C:C/I:N/A:N","cpe:2.3:o:conceptronic:c54apm_firmware:1.26:*:*:*:*:*:*:*" "cpe:2.3:h:conceptronic:c54apm:v2:*:*:*:*:*:*:*"
"Modified","CVE-2013-5858","NVD-CWE-noinfo",,,,,,,,,,,,,"nvd@nist.gov",4,LOW,"AV:N/AC:L/Au:S/C:N/I:P/A:N","cpe:2.3:a:oracle:database_server:11.1.0.7:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:database_server:11.2.0.3:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:database_server:11.2.0.4:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:database_server:12.1.0.1:*:*:*:*:*:*:*"
"Modified","CVE-2013-5860","NVD-CWE-noinfo",,,,,,,,,,,,,"nvd@nist.gov",6.8,MEDIUM,"AV:N/AC:L/Au:S/C:N/I:N/A:C","cpe:2.3:a:oracle:mysql:*:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:mysql:5.6.0:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:mysql:5.6.1:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:mysql:5.6.2:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:mysql:5.6.3:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:mysql:5.6.4:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:mysql:5.6.5:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:mysql:5.6.6:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:mysql:5.6.7:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:mysql:5.6.8:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:mysql:5.6.9:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:mysql:5.6.10:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:mysql:5.6.11:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:mysql:5.6.12:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:mysql:5.6.13:*:*:*:*:*:*:*"
"Modified","CVE-2014-0433","NVD-CWE-noinfo",,,,,,,,,,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:N/A:P","cpe:2.3:a:oracle:mysql:*:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:mysql:5.6.0:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:mysql:5.6.1:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:mysql:5.6.2:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:mysql:5.6.3:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:mysql:5.6.4:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:mysql:5.6.5:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:mysql:5.6.6:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:mysql:5.6.7:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:mysql:5.6.8:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:mysql:5.6.9:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:mysql:5.6.10:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:mysql:5.6.11:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:mysql:5.6.12:*:*:*:*:*:*:*"
"Modified","CVE-2014-0434","NVD-CWE-noinfo",,,,,,,,,,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:P/A:N","cpe:2.3:a:oracle:supply_chain_products_suite:6.0.0:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:supply_chain_products_suite:6.1.0:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:supply_chain_products_suite:6.1.1.0:*:*:*:*:*:*:*"
"Modified","CVE-2014-0435","NVD-CWE-noinfo",,,,,,,,,,,,,"nvd@nist.gov",4,LOW,"AV:N/AC:L/Au:S/C:N/I:N/A:P","cpe:2.3:a:oracle:supply_chain_products_suite:6.1.0:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:supply_chain_products_suite:6.2.0:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:supply_chain_products_suite:6.3.0:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:supply_chain_products_suite:6.3.1:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:supply_chain_products_suite:6.3.2:*:*:*:*:*:*:*"
"Modified","CVE-2014-0437","NVD-CWE-noinfo",,,,,,,,,,,,,"nvd@nist.gov",3.5,LOW,"AV:N/AC:M/Au:S/C:N/I:N/A:P","cpe:2.3:a:oracle:mysql:*:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:mysql:*:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:mysql:*:*:*:*:*:*:*:*" "cpe:2.3:o:debian:debian_linux:6.0:*:*:*:*:*:*:*" "cpe:2.3:o:debian:debian_linux:7.0:*:*:*:*:*:*:*" "cpe:2.3:o:canonical:ubuntu_linux:10.04:*:*:*:-:*:*:*" "cpe:2.3:o:canonical:ubuntu_linux:12.04:*:*:*:-:*:*:*" "cpe:2.3:o:canonical:ubuntu_linux:12.10:*:*:*:*:*:*:*" "cpe:2.3:o:canonical:ubuntu_linux:13.10:*:*:*:*:*:*:*" "cpe:2.3:a:mariadb:mariadb:*:*:*:*:*:*:*:*" "cpe:2.3:a:mariadb:mariadb:*:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_desktop:5.0:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_desktop:6.0:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_eus:6.5:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_server:5.0:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_server:6.0:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_server_aus:6.5:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_server_tus:6.5:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_workstation:5.0:*:*:*:*:*:*:*" "cpe:2.3:o:redhat:enterprise_linux_workstation:6.0:*:*:*:*:*:*:*"
