"Modified","CVE-2021-27225","CWE-863",,,,,"cve@mitre.org" "nvd@nist.gov",5.4 5.4,"MEDIUM" "MEDIUM","CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N" "CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N",,,,,"nvd@nist.gov",5.5,MEDIUM,"AV:N/AC:L/Au:S/C:P/I:P/A:N","cpe:2.3:a:dataiku:data_science_studio:*:*:*:*:*:*:*:*"
"Modified","CVE-2021-25122","CWE-200" "CWE-200",,,,,"nvd@nist.gov",7.5,"HIGH","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N",,,,,"nvd@nist.gov",5,MEDIUM,"AV:N/AC:L/Au:N/C:P/I:N/A:N","cpe:2.3:a:apache:tomcat:*:*:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:*:*:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone1:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone10:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone11:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone12:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone13:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone14:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone15:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone16:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone17:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone18:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone19:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone2:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone20:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone21:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone22:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone23:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone24:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone25:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone26:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone27:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone3:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone4:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone5:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:10.0.0:-:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:10.0.0:milestone1:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:10.0.0:milestone10:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:10.0.0:milestone2:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:10.0.0:milestone3:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:10.0.0:milestone4:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:10.0.0:milestone5:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:10.0.0:milestone6:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:10.0.0:milestone7:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:10.0.0:milestone8:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:10.0.0:milestone9:*:*:*:*:*:*" "cpe:2.3:o:debian:debian_linux:9.0:*:*:*:*:*:*:*" "cpe:2.3:o:debian:debian_linux:10.0:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:agile_plm:9.3.3:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:agile_plm:9.3.6:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:communications_cloud_native_core_policy:1.14.0:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:communications_cloud_native_core_security_edge_protection_proxy:1.6.0:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:communications_instant_messaging_server:10.0.1.5.0:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:database:12.2.0.1:*:*:*:enterprise:*:*:*" "cpe:2.3:a:oracle:database:19c:*:*:*:enterprise:*:*:*" "cpe:2.3:a:oracle:database:21c:*:*:*:enterprise:*:*:*" "cpe:2.3:a:oracle:graph_server_and_client:*:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:graph_server_and_client:21.3.0:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:instantis_enterprisetrack:17.1:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:instantis_enterprisetrack:17.2:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:instantis_enterprisetrack:17.3:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:managed_file_transfer:12.2.1.3.0:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:managed_file_transfer:12.2.1.4.0:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:mysql_enterprise_monitor:*:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:siebel_ui_framework:*:*:*:*:*:*:*:*"
"Modified","CVE-2021-25329","NVD-CWE-noinfo",,,,,"nvd@nist.gov",7,"HIGH","CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",4.4,MEDIUM,"AV:L/AC:M/Au:N/C:P/I:P/A:P","cpe:2.3:a:apache:tomcat:*:*:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:*:*:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:*:*:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone1:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone10:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone11:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone12:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone13:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone14:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone15:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone16:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone17:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone18:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone19:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone2:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone20:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone21:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone22:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone23:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone24:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone25:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone26:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone27:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone3:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone4:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone5:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone6:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone7:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone8:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:9.0.0:milestone9:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:10.0.0:-:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:10.0.0:milestone1:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:10.0.0:milestone10:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:10.0.0:milestone2:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:10.0.0:milestone3:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:10.0.0:milestone4:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:10.0.0:milestone5:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:10.0.0:milestone6:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:10.0.0:milestone7:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:10.0.0:milestone8:*:*:*:*:*:*" "cpe:2.3:a:apache:tomcat:10.0.0:milestone9:*:*:*:*:*:*" "cpe:2.3:o:debian:debian_linux:9.0:*:*:*:*:*:*:*" "cpe:2.3:o:debian:debian_linux:10.0:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:agile_plm:9.3.3:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:agile_plm:9.3.6:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:communications_cloud_native_core_policy:1.14.0:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:communications_cloud_native_core_security_edge_protection_proxy:1.6.0:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:communications_instant_messaging_server:10.0.1.5.0:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:database:12.2.0.1:*:*:*:enterprise:*:*:*" "cpe:2.3:a:oracle:database:19c:*:*:*:enterprise:*:*:*" "cpe:2.3:a:oracle:database:21c:*:*:*:enterprise:*:*:*" "cpe:2.3:a:oracle:graph_server_and_client:*:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:instantis_enterprisetrack:17.1:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:instantis_enterprisetrack:17.2:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:instantis_enterprisetrack:17.3:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:managed_file_transfer:12.2.1.3.0:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:managed_file_transfer:12.2.1.4.0:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:mysql_enterprise_monitor:*:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:siebel_ui_framework:*:*:*:*:*:*:*:*" "cpe:2.3:a:oracle:siebel_ui_framework:21.9:*:*:*:*:*:*:*"
"Modified","CVE-2020-7929","CWE-185" "NVD-CWE-Other",,,,,"cna@mongodb.com" "nvd@nist.gov",6.5 6.5,"MEDIUM" "MEDIUM","CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H" "CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H",,,,,"nvd@nist.gov",4,LOW,"AV:N/AC:L/Au:S/C:N/I:N/A:P","cpe:2.3:a:mongodb:mongodb:*:*:*:*:*:*:*:*" "cpe:2.3:a:mongodb:mongodb:*:*:*:*:*:*:*:*"
"Modified","CVE-2020-9479","CWE-22",,,,,"nvd@nist.gov",5.5,"MEDIUM","CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:H/A:N",,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:P/A:N","cpe:2.3:a:apache:asterixdb:*:*:*:*:*:*:*:*"
"Modified","CVE-2021-25829","NVD-CWE-noinfo",,,,,"nvd@nist.gov",7.5,"HIGH","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H",,,,,"nvd@nist.gov",7.8,HIGH,"AV:N/AC:L/Au:N/C:N/I:N/A:C","cpe:2.3:a:onlyoffice:document_server:*:*:*:*:*:*:*:*"
"Modified","CVE-2021-25830","NVD-CWE-noinfo",,,,,"nvd@nist.gov",9.8,"CRITICAL","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:onlyoffice:document_server:*:*:*:*:*:*:*:*"
"Modified","CVE-2021-25831","NVD-CWE-noinfo",,,,,"nvd@nist.gov",9.8,"CRITICAL","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:onlyoffice:document_server:*:*:*:*:*:*:*:*"
"Modified","CVE-2021-25832","CWE-787",,,,,"nvd@nist.gov",9.8,"CRITICAL","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:onlyoffice:document_server:*:*:*:*:*:*:*:*"
"Modified","CVE-2021-25833","CWE-22",,,,,"nvd@nist.gov",9.8,"CRITICAL","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:onlyoffice:document_server:*:*:*:*:*:*:*:*"
