"Modified","CVE-2011-2598","CWE-200",,,,,,,,,,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:P/I:N/A:N","cpe:2.3:a:mozilla:firefox:4.0:*:*:*:*:*:*:*" "cpe:2.3:a:mozilla:firefox:4.0:beta1:*:*:*:*:*:*" "cpe:2.3:a:mozilla:firefox:4.0:beta10:*:*:*:*:*:*" "cpe:2.3:a:mozilla:firefox:4.0:beta11:*:*:*:*:*:*" "cpe:2.3:a:mozilla:firefox:4.0:beta12:*:*:*:*:*:*" "cpe:2.3:a:mozilla:firefox:4.0:beta2:*:*:*:*:*:*" "cpe:2.3:a:mozilla:firefox:4.0:beta3:*:*:*:*:*:*" "cpe:2.3:a:mozilla:firefox:4.0:beta4:*:*:*:*:*:*" "cpe:2.3:a:mozilla:firefox:4.0:beta5:*:*:*:*:*:*" "cpe:2.3:a:mozilla:firefox:4.0:beta6:*:*:*:*:*:*" "cpe:2.3:a:mozilla:firefox:4.0:beta7:*:*:*:*:*:*" "cpe:2.3:a:mozilla:firefox:4.0:beta8:*:*:*:*:*:*" "cpe:2.3:a:mozilla:firefox:4.0:beta9:*:*:*:*:*:*" "cpe:2.3:a:mozilla:firefox:4.0.1:*:*:*:*:*:*:*"
"Modified","CVE-2011-2599","CWE-200",,,,,,,,,,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:P/I:N/A:N","cpe:2.3:a:google:chrome:11:*:*:*:*:*:*:*"
"Modified","CVE-2011-2600","CWE-264",,,,,,,,,,,,,"nvd@nist.gov",7.1,HIGH,"AV:N/AC:M/Au:N/C:N/I:N/A:C","cpe:2.3:o:microsoft:windows_xp:*:*:*:*:*:*:*:*"
"Modified","CVE-2011-2601","CWE-264",,,,,,,,,,,,,"nvd@nist.gov",7.1,HIGH,"AV:N/AC:M/Au:N/C:N/I:N/A:C","cpe:2.3:o:apple:mac_os_x:*:*:*:*:*:*:*:*"
"Modified","CVE-2011-2602","CWE-399",,,,,,,,,,,,,"nvd@nist.gov",7.1,HIGH,"AV:N/AC:M/Au:N/C:N/I:N/A:C","cpe:2.3:a:nvidia:geforce_310_driver:6.14.12.7061:*:*:*:*:*:*:*" "cpe:2.3:o:microsoft:windows_xp:*:sp3:*:*:*:*:*:*"
"Modified","CVE-2011-2603","CWE-399",,,,,,,,,,,,,"nvd@nist.gov",7.1,HIGH,"AV:N/AC:M/Au:N/C:N/I:N/A:C","cpe:2.3:a:nvidia:9400m_driver:6.2.6:*:*:*:*:*:*:*" "cpe:2.3:o:apple:mac_os_x:10.6.7:*:*:*:*:*:*:*"
"Modified","CVE-2009-4008","CWE-399",,,,,,,,,,,,,"nvd@nist.gov",5,MEDIUM,"AV:N/AC:L/Au:N/C:N/I:N/A:P","cpe:2.3:a:nlnetlabs:unbound:*:*:*:*:*:*:*:*" "cpe:2.3:a:nlnetlabs:unbound:0.0:*:*:*:*:*:*:*" "cpe:2.3:a:nlnetlabs:unbound:0.1:*:*:*:*:*:*:*" "cpe:2.3:a:nlnetlabs:unbound:0.2:*:*:*:*:*:*:*" "cpe:2.3:a:nlnetlabs:unbound:0.3:*:*:*:*:*:*:*" "cpe:2.3:a:nlnetlabs:unbound:0.4:*:*:*:*:*:*:*" "cpe:2.3:a:nlnetlabs:unbound:0.5:*:*:*:*:*:*:*" "cpe:2.3:a:nlnetlabs:unbound:0.6:*:*:*:*:*:*:*" "cpe:2.3:a:nlnetlabs:unbound:0.7:*:*:*:*:*:*:*" "cpe:2.3:a:nlnetlabs:unbound:0.7.1:*:*:*:*:*:*:*" "cpe:2.3:a:nlnetlabs:unbound:0.7.2:*:*:*:*:*:*:*" "cpe:2.3:a:nlnetlabs:unbound:0.8:*:*:*:*:*:*:*" "cpe:2.3:a:nlnetlabs:unbound:0.09:*:*:*:*:*:*:*" "cpe:2.3:a:nlnetlabs:unbound:0.10:*:*:*:*:*:*:*" "cpe:2.3:a:nlnetlabs:unbound:0.11:*:*:*:*:*:*:*" "cpe:2.3:a:nlnetlabs:unbound:1.0.0:*:*:*:*:*:*:*" "cpe:2.3:a:nlnetlabs:unbound:1.0.1:*:*:*:*:*:*:*" "cpe:2.3:a:nlnetlabs:unbound:1.0.2:*:*:*:*:*:*:*" "cpe:2.3:a:nlnetlabs:unbound:1.1.0:*:*:*:*:*:*:*" "cpe:2.3:a:nlnetlabs:unbound:1.1.1:*:*:*:*:*:*:*" "cpe:2.3:a:nlnetlabs:unbound:1.2.0:*:*:*:*:*:*:*" "cpe:2.3:a:nlnetlabs:unbound:1.2.1:*:*:*:*:*:*:*" "cpe:2.3:a:nlnetlabs:unbound:1.3.0:*:*:*:*:*:*:*" "cpe:2.3:a:nlnetlabs:unbound:1.3.1:*:*:*:*:*:*:*" "cpe:2.3:a:nlnetlabs:unbound:1.3.2:*:*:*:*:*:*:*" "cpe:2.3:a:nlnetlabs:unbound:1.3.3:*:*:*:*:*:*:*" "cpe:2.3:a:nlnetlabs:unbound:1.3.4:*:*:*:*:*:*:*" "cpe:2.3:a:nlnetlabs:unbound:1.4.0:*:*:*:*:*:*:*" "cpe:2.3:a:nlnetlabs:unbound:1.4.1:*:*:*:*:*:*:*" "cpe:2.3:a:nlnetlabs:unbound:1.4.2:*:*:*:*:*:*:*"
"Modified","CVE-2009-5044","CWE-59",,,,,,,,,,,,,"nvd@nist.gov",3.3,LOW,"AV:L/AC:M/Au:N/C:N/I:P/A:P","cpe:2.3:o:apple:mac_os_x:*:*:*:*:*:*:*:*" "cpe:2.3:a:gnu:groff:*:*:*:*:*:*:*:*" "cpe:2.3:a:gnu:groff:1.10:*:*:*:*:*:*:*" "cpe:2.3:a:gnu:groff:1.11:*:*:*:*:*:*:*" "cpe:2.3:a:gnu:groff:1.11a:*:*:*:*:*:*:*" "cpe:2.3:a:gnu:groff:1.14:*:*:*:*:*:*:*" "cpe:2.3:a:gnu:groff:1.15:*:*:*:*:*:*:*" "cpe:2.3:a:gnu:groff:1.16:*:*:*:*:*:*:*" "cpe:2.3:a:gnu:groff:1.16.1:*:*:*:*:*:*:*" "cpe:2.3:a:gnu:groff:1.17.1:*:*:*:*:*:*:*" "cpe:2.3:a:gnu:groff:1.17.2:*:*:*:*:*:*:*" "cpe:2.3:a:gnu:groff:1.18.1:*:*:*:*:*:*:*" "cpe:2.3:a:gnu:groff:1.19:*:*:*:*:*:*:*" "cpe:2.3:a:gnu:groff:1.19.1:*:*:*:*:*:*:*" "cpe:2.3:a:gnu:groff:1.19.2:*:*:*:*:*:*:*" "cpe:2.3:a:gnu:groff:1.20:*:*:*:*:*:*:*"
"Modified","CVE-2009-5076","CWE-287",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:creloaded:cre_loaded:*:*:*:*:*:*:*:*" "cpe:2.3:a:creloaded:cre_loaded:6.3:*:*:*:*:*:*:*" "cpe:2.3:a:creloaded:cre_loaded:6.15:*:*:*:*:*:*:*"
"Modified","CVE-2009-5077","CWE-287",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:creloaded:cre_loaded:*:*:*:*:*:*:*:*" "cpe:2.3:a:creloaded:cre_loaded:6.15:*:*:*:*:*:*:*"
