"Modified","CVE-2006-4169","NVD-CWE-Other",,,,,,,,,,,,,"nvd@nist.gov",5.5,MEDIUM,"AV:N/AC:L/Au:S/C:P/I:P/A:N","cpe:2.3:a:squirrelmail:gpg_plugin:2.0:*:*:*:*:*:*:*" "cpe:2.3:a:squirrelmail:gpg_plugin:2.1_dev:*:*:*:*:*:*:*"
"Modified","CVE-2006-4183","CWE-119",,,,,,,,,,,,,"nvd@nist.gov",6.8,MEDIUM,"AV:N/AC:M/Au:N/C:P/I:P/A:P","cpe:2.3:a:microsoft:directx_sdk:february_2006:*:*:*:*:*:*:*"
"Modified","CVE-2006-4519","CWE-190",,,,,,,,,,,,,"nvd@nist.gov",6.8,MEDIUM,"AV:N/AC:M/Au:N/C:P/I:P/A:P","cpe:2.3:a:gimp:gimp:*:*:*:*:*:*:*:*"
"Modified","CVE-2006-5271","NVD-CWE-Other",,,,,,,,,,,,,"nvd@nist.gov",7.6,HIGH,"AV:N/AC:H/Au:N/C:C/I:C/A:C","cpe:2.3:a:mcafee:e-business_server:3.5:*:*:*:*:*:*:*" "cpe:2.3:a:mcafee:e-business_server:3.6.1:*:*:*:*:*:*:*" "cpe:2.3:a:mcafee:protectionpilot:1.1.1:*:*:*:*:*:*:*" "cpe:2.3:a:mcafee:protectionpilot:1.1.1:p3:*:*:*:*:*:*" "cpe:2.3:a:mcafee:protectionpilot:1.5.0:*:*:*:*:*:*:*"
"Modified","CVE-2006-5272","NVD-CWE-Other",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:mcafee:common_management_agent:*:*:*:*:*:*:*:*" "cpe:2.3:a:mcafee:e-business_server:3.5:*:*:*:*:*:*:*" "cpe:2.3:a:mcafee:e-business_server:3.6.1:*:*:*:*:*:*:*" "cpe:2.3:a:mcafee:protectionpilot:1.1.1:*:*:*:*:*:*:*" "cpe:2.3:a:mcafee:protectionpilot:1.1.1:p3:*:*:*:*:*:*" "cpe:2.3:a:mcafee:protectionpilot:1.5.0:*:*:*:*:*:*:*"
"Modified","CVE-2006-5273","NVD-CWE-Other",,,,,,,,,,,,,"nvd@nist.gov",7.6,HIGH,"AV:N/AC:H/Au:N/C:C/I:C/A:C","cpe:2.3:a:mcafee:common_management_agent:*:*:*:*:*:*:*:*" "cpe:2.3:a:mcafee:common_management_agent:3.6.0.438:*:*:*:*:*:*:*" "cpe:2.3:a:mcafee:e-business_server:3.5:*:*:*:*:*:*:*" "cpe:2.3:a:mcafee:e-business_server:3.6.1:*:*:*:*:*:*:*" "cpe:2.3:a:mcafee:protectionpilot:1.1.1:*:*:*:*:*:*:*" "cpe:2.3:a:mcafee:protectionpilot:1.1.1:p3:*:*:*:*:*:*" "cpe:2.3:a:mcafee:protectionpilot:1.5.0:*:*:*:*:*:*:*"
"Modified","CVE-2006-5274","NVD-CWE-Other",,,,,,,,,,,,,"nvd@nist.gov",7.6,HIGH,"AV:N/AC:H/Au:N/C:C/I:C/A:C","cpe:2.3:a:mcafee:common_management_agent:3.6.0.438:*:*:*:*:*:*:*" "cpe:2.3:a:mcafee:epolicy_orchestrator:3.5.0:*:*:*:*:*:*:*" "cpe:2.3:a:mcafee:epolicy_orchestrator:3.6.0:*:*:*:*:*:*:*" "cpe:2.3:a:mcafee:protectionpilot:1.1.1:*:*:*:*:*:*:*" "cpe:2.3:a:mcafee:protectionpilot:1.1.1:p3:*:*:*:*:*:*" "cpe:2.3:a:mcafee:protectionpilot:1.5.0:*:*:*:*:*:*:*"
"Modified","CVE-2006-5277","NVD-CWE-Other",,,,,,,,,,,,,"nvd@nist.gov",9.3,CRITICAL,"AV:N/AC:M/Au:N/C:C/I:C/A:C","cpe:2.3:a:cisco:unified_callmanager:*:*:*:*:*:*:*:*" "cpe:2.3:a:cisco:unified_callmanager:*:*:*:*:*:*:*:*" "cpe:2.3:a:cisco:unified_callmanager:*:*:*:*:*:*:*:*" "cpe:2.3:a:cisco:unified_callmanager:5.0:*:*:*:*:*:*:*" "cpe:2.3:a:cisco:unified_communications_manager:*:*:*:*:*:*:*:*" "cpe:2.3:a:cisco:unified_communications_manager:*:*:*:*:*:*:*:*"
"Modified","CVE-2006-5278","NVD-CWE-Other",,,,,,,,,,,,,"nvd@nist.gov",10,CRITICAL,"AV:N/AC:L/Au:N/C:C/I:C/A:C","cpe:2.3:a:cisco:unified_callmanager:*:*:*:*:*:*:*:*" "cpe:2.3:a:cisco:unified_callmanager:*:*:*:*:*:*:*:*" "cpe:2.3:a:cisco:unified_callmanager:*:*:*:*:*:*:*:*" "cpe:2.3:a:cisco:unified_callmanager:*:*:*:*:*:*:*:*" "cpe:2.3:a:cisco:unified_callmanager:5.0:*:*:*:*:*:*:*" "cpe:2.3:a:cisco:unified_communications_manager:*:*:*:*:*:*:*:*"
"Modified","CVE-2006-7215","NVD-CWE-Other",,,,,,,,,,,,,"nvd@nist.gov",2.1,LOW,"AV:L/AC:L/Au:N/C:N/I:N/A:P","cpe:2.3:h:intel:core_2_duo_e4000:*:*:*:*:*:*:*:*" "cpe:2.3:h:intel:core_2_duo_e6000:*:*:*:*:*:*:*:*" "cpe:2.3:h:intel:core_2_extreme_x6800:*:*:*:*:*:*:*:*"
