"Analyzed","CVE-2023-36504","CWE-862",,,,,"audit@patchstack.com" "nvd@nist.gov",6.5 9.8,"MEDIUM" "CRITICAL","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:L" "CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,,,,,,,,"cpe:2.3:a:bbsetheme:bbs_e-popup:*:*:*:*:*:wordpress:*:*"
"Analyzed","CVE-2023-48789","CWE-602" "NVD-CWE-Other",,,,,"psirt@fortinet.com" "nvd@nist.gov",4.3 6.5,"MEDIUM" "MEDIUM","CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N" "CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N",,,,,,,,,"cpe:2.3:a:fortinet:fortiportal:*:*:*:*:*:*:*:*"
"Analyzed","CVE-2023-7261","NVD-CWE-noinfo",,,,,"nvd@nist.gov" "134c704f-9b21-4f2e-91b3-4a467353bcc0",7.8 7.3,"HIGH" "HIGH","CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H" "CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H",,,,,,,,,"cpe:2.3:a:google:updater:*:*:*:*:*:*:*:*" "cpe:2.3:a:google:chrome:-:*:*:*:*:*:*:*"
"Analyzed","CVE-2024-0444","CWE-121" "CWE-787",,,,,"nvd@nist.gov",8.8,"HIGH","CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H","zdi-disclosures@trendmicro.com",7.5,"HIGH","CVSS:3.0/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:H",,,,,"cpe:2.3:a:gstreamer_project:gstreamer:*:*:*:*:*:*:*:*"
"Analyzed","CVE-2024-1694","NVD-CWE-noinfo",,,,,"nvd@nist.gov" "134c704f-9b21-4f2e-91b3-4a467353bcc0",7.8 7.8,"HIGH" "HIGH","CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H" "CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H",,,,,,,,,"cpe:2.3:a:google:updater:*:*:*:*:*:*:*:*" "cpe:2.3:o:microsoft:windows:-:*:*:*:*:*:*:*"
"Analyzed","CVE-2024-21988","CWE-347",,,,,"security-alert@netapp.com" "nvd@nist.gov",5.3 5.3,"MEDIUM" "MEDIUM","CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:N/A:N" "CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:N/A:N",,,,,,,,,"cpe:2.3:a:netapp:storagegrid:*:*:*:*:*:*:*:*" "cpe:2.3:a:netapp:storagegrid:*:*:*:*:*:*:*:*"
"Analyzed","CVE-2024-23107","CWE-200" "NVD-CWE-noinfo",,,,,"psirt@fortinet.com" "nvd@nist.gov",5.5 5.5,"MEDIUM" "MEDIUM","CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N" "CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N",,,,,,,,,"cpe:2.3:a:fortinet:fortiweb:*:*:*:*:*:*:*:*" "cpe:2.3:a:fortinet:fortiweb:*:*:*:*:*:*:*:*" "cpe:2.3:a:fortinet:fortiweb:*:*:*:*:*:*:*:*" "cpe:2.3:a:fortinet:fortiweb:7.4.0:*:*:*:*:*:*:*"
"Analyzed","CVE-2024-23665","CWE-285" "NVD-CWE-noinfo",,,,,"psirt@fortinet.com" "nvd@nist.gov",5.9 8.8,"MEDIUM" "HIGH","CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:L/A:N" "CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H",,,,,,,,,"cpe:2.3:a:fortinet:fortiweb:*:*:*:*:*:*:*:*" "cpe:2.3:a:fortinet:fortiweb:*:*:*:*:*:*:*:*" "cpe:2.3:a:fortinet:fortiweb:*:*:*:*:*:*:*:*" "cpe:2.3:a:fortinet:fortiweb:*:*:*:*:*:*:*:*" "cpe:2.3:a:fortinet:fortiweb:*:*:*:*:*:*:*:*"
"Analyzed","CVE-2024-23667","CWE-285" "NVD-CWE-noinfo",,,,,"psirt@fortinet.com" "nvd@nist.gov",7.8 8.8,"HIGH" "HIGH","CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H" "CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H",,,,,,,,,"cpe:2.3:a:fortinet:fortiwebmanager:*:*:*:*:*:*:*:*" "cpe:2.3:a:fortinet:fortiwebmanager:*:*:*:*:*:*:*:*" "cpe:2.3:a:fortinet:fortiwebmanager:6.0.2:*:*:*:*:*:*:*" "cpe:2.3:a:fortinet:fortiwebmanager:6.3.0:*:*:*:*:*:*:*" "cpe:2.3:a:fortinet:fortiwebmanager:7.2.0:*:*:*:*:*:*:*"
"Analyzed","CVE-2024-23668","CWE-20" "NVD-CWE-noinfo",,,,,"psirt@fortinet.com" "nvd@nist.gov",8.8 8.8,"HIGH" "HIGH","CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H" "CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H",,,,,,,,,"cpe:2.3:a:fortinet:fortiwebmanager:*:*:*:*:*:*:*:*" "cpe:2.3:a:fortinet:fortiwebmanager:*:*:*:*:*:*:*:*" "cpe:2.3:a:fortinet:fortiwebmanager:6.0.2:*:*:*:*:*:*:*" "cpe:2.3:a:fortinet:fortiwebmanager:6.3.0:*:*:*:*:*:*:*" "cpe:2.3:a:fortinet:fortiwebmanager:7.2.0:*:*:*:*:*:*:*"
"Analyzed","CVE-2024-23670","CWE-285" "NVD-CWE-noinfo",,,,,"psirt@fortinet.com" "nvd@nist.gov",7.8 8.8,"HIGH" "HIGH","CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H" "CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H",,,,,,,,,"cpe:2.3:a:fortinet:fortiwebmanager:*:*:*:*:*:*:*:*" "cpe:2.3:a:fortinet:fortiwebmanager:*:*:*:*:*:*:*:*" "cpe:2.3:a:fortinet:fortiwebmanager:6.0.2:*:*:*:*:*:*:*" "cpe:2.3:a:fortinet:fortiwebmanager:6.3.0:*:*:*:*:*:*:*" "cpe:2.3:a:fortinet:fortiwebmanager:7.2.0:*:*:*:*:*:*:*"
"Analyzed","CVE-2024-25142","CWE-525" "NVD-CWE-Other",,,,,"nvd@nist.gov",5.5,"MEDIUM","CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N",,,,,,,,,"cpe:2.3:a:apache:airflow:*:*:*:*:*:*:*:*"
"Analyzed","CVE-2024-26010","CWE-121" "CWE-787",,,,,"psirt@fortinet.com" "nvd@nist.gov",7.5 7.5,"HIGH" "HIGH","CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:H" "CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:H",,,,,,,,,"cpe:2.3:o:fortinet:fortios:*:*:*:*:*:*:*:*" "cpe:2.3:o:fortinet:fortios:*:*:*:*:*:*:*:*" "cpe:2.3:o:fortinet:fortios:*:*:*:*:*:*:*:*" "cpe:2.3:o:fortinet:fortipam:*:*:*:*:*:*:*:*" "cpe:2.3:a:fortinet:fortiproxy:*:*:*:*:*:*:*:*" "cpe:2.3:a:fortinet:fortiproxy:*:*:*:*:*:*:*:*" "cpe:2.3:a:fortinet:fortiproxy:*:*:*:*:*:*:*:*" "cpe:2.3:a:fortinet:fortiswitchmanager:*:*:*:*:*:*:*:*" "cpe:2.3:a:fortinet:fortiswitchmanager:*:*:*:*:*:*:*:*"
"Analyzed","CVE-2024-27867","CWE-287",,,,,"nvd@nist.gov" "134c704f-9b21-4f2e-91b3-4a467353bcc0",4.3 3.3,"MEDIUM" "LOW","CVSS:3.1/AV:A/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N" "CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:L",,,,,,,,,"cpe:2.3:o:apple:airpods_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:apple:airpods:-:*:*:*:*:*:*:*" "cpe:2.3:o:apple:powerbeats_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:apple:powerbeats:-:*:*:*:*:*:*:*" "cpe:2.3:o:apple:airpods_pro_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:apple:airpods_pro:-:*:*:*:*:*:*:*" "cpe:2.3:o:apple:beats_fit_pro_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:apple:beats_fit_pro:-:*:*:*:*:*:*:*" "cpe:2.3:o:apple:airpods_max_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:apple:airpods_max:-:*:*:*:*:*:*:*"
