"Modified","CVE-2021-20838","CWE-611",,,,,"nvd@nist.gov",7.5,"HIGH","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H",,,,,"nvd@nist.gov",5,MEDIUM,"AV:N/AC:L/Au:N/C:N/I:N/A:P","cpe:2.3:a:antennahouse:office_server_document_converter:*:*:*:*:*:*:*:*" "cpe:2.3:a:antennahouse:office_server_document_converter:5.2:-:*:*:*:*:*:*" "cpe:2.3:a:antennahouse:office_server_document_converter:6.0:-:*:*:*:*:*:*" "cpe:2.3:a:antennahouse:office_server_document_converter:6.0:mr1:*:*:*:*:*:*" "cpe:2.3:a:antennahouse:office_server_document_converter:6.0:mr2:*:*:*:*:*:*" "cpe:2.3:a:antennahouse:office_server_document_converter:6.1:-:*:*:*:*:*:*" "cpe:2.3:a:antennahouse:office_server_document_converter:6.1:mr2:*:*:*:*:*:*" "cpe:2.3:a:antennahouse:office_server_document_converter:6.1:mr2:*:*:pro:*:*:*" "cpe:2.3:a:antennahouse:office_server_document_converter:6.1:mr3:*:*:*:*:*:*" "cpe:2.3:a:antennahouse:office_server_document_converter:6.1:mr4:*:*:*:*:*:*" "cpe:2.3:a:antennahouse:office_server_document_converter:7.0:*:*:*:*:*:*:*" "cpe:2.3:a:antennahouse:office_server_document_converter:7.0:mr1:*:*:*:*:*:*" "cpe:2.3:a:antennahouse:office_server_document_converter:7.0:mr2:*:*:*:*:*:*" "cpe:2.3:a:antennahouse:office_server_document_converter:7.0:mr3:*:*:*:*:*:*" "cpe:2.3:a:antennahouse:office_server_document_converter:7.1:-:*:*:*:*:*:*" "cpe:2.3:a:antennahouse:office_server_document_converter:7.1:mr1:*:*:*:*:*:*" "cpe:2.3:a:antennahouse:office_server_document_converter:7.1:mr2:*:*:*:*:*:*" "cpe:2.3:a:antennahouse:office_server_document_converter:7.1:mr3:*:*:*:*:*:*" "cpe:2.3:a:antennahouse:office_server_document_converter:7.2:*:*:*:*:*:*:*" "cpe:2.3:a:antennahouse:office_server_document_converter:7.2:mr1:*:*:*:*:*:*" "cpe:2.3:a:antennahouse:office_server_document_converter:7.2:mr2:*:*:*:*:*:*" "cpe:2.3:a:antennahouse:office_server_document_converter:7.2:mr3:*:*:*:*:*:*" "cpe:2.3:a:antennahouse:office_server_document_converter:7.2:mr4:*:*:*:*:*:*"
"Modified","CVE-2021-20839","CWE-611",,,,,"nvd@nist.gov",6.5,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H",,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:N/A:P","cpe:2.3:a:antennahouse:office_server_document_converter:*:*:*:*:*:*:*:*" "cpe:2.3:a:antennahouse:office_server_document_converter:5.2:-:*:*:*:*:*:*" "cpe:2.3:a:antennahouse:office_server_document_converter:6.0:-:*:*:*:*:*:*" "cpe:2.3:a:antennahouse:office_server_document_converter:6.0:mr1:*:*:*:*:*:*" "cpe:2.3:a:antennahouse:office_server_document_converter:6.0:mr2:*:*:*:*:*:*" "cpe:2.3:a:antennahouse:office_server_document_converter:6.1:-:*:*:*:*:*:*" "cpe:2.3:a:antennahouse:office_server_document_converter:6.1:mr2:*:*:*:*:*:*" "cpe:2.3:a:antennahouse:office_server_document_converter:6.1:mr2:*:*:pro:*:*:*" "cpe:2.3:a:antennahouse:office_server_document_converter:6.1:mr3:*:*:*:*:*:*" "cpe:2.3:a:antennahouse:office_server_document_converter:6.1:mr4:*:*:*:*:*:*" "cpe:2.3:a:antennahouse:office_server_document_converter:7.0:*:*:*:*:*:*:*" "cpe:2.3:a:antennahouse:office_server_document_converter:7.0:mr1:*:*:*:*:*:*" "cpe:2.3:a:antennahouse:office_server_document_converter:7.0:mr2:*:*:*:*:*:*" "cpe:2.3:a:antennahouse:office_server_document_converter:7.0:mr3:*:*:*:*:*:*" "cpe:2.3:a:antennahouse:office_server_document_converter:7.1:-:*:*:*:*:*:*" "cpe:2.3:a:antennahouse:office_server_document_converter:7.1:mr1:*:*:*:*:*:*" "cpe:2.3:a:antennahouse:office_server_document_converter:7.1:mr2:*:*:*:*:*:*" "cpe:2.3:a:antennahouse:office_server_document_converter:7.1:mr3:*:*:*:*:*:*" "cpe:2.3:a:antennahouse:office_server_document_converter:7.2:*:*:*:*:*:*:*" "cpe:2.3:a:antennahouse:office_server_document_converter:7.2:mr1:*:*:*:*:*:*" "cpe:2.3:a:antennahouse:office_server_document_converter:7.2:mr2:*:*:*:*:*:*" "cpe:2.3:a:antennahouse:office_server_document_converter:7.2:mr3:*:*:*:*:*:*" "cpe:2.3:a:antennahouse:office_server_document_converter:7.2:mr4:*:*:*:*:*:*"
"Modified","CVE-2021-41313","CWE-285" "NVD-CWE-Other",,,,,"nvd@nist.gov",4.3,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:L/A:N",,,,,"nvd@nist.gov",4,LOW,"AV:N/AC:L/Au:S/C:N/I:P/A:N","cpe:2.3:a:atlassian:jira_data_center:*:*:*:*:*:*:*:*" "cpe:2.3:a:atlassian:jira_server:*:*:*:*:*:*:*:*"
"Modified","CVE-2021-42574","CWE-94",,,,,"nvd@nist.gov",8.3,"HIGH","CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:C/C:H/I:H/A:H",,,,,"nvd@nist.gov",5.1,MEDIUM,"AV:N/AC:H/Au:N/C:P/I:P/A:P","cpe:2.3:a:unicode:unicode:*:*:*:*:*:*:*:*" "cpe:2.3:o:fedoraproject:fedora:33:*:*:*:*:*:*:*" "cpe:2.3:o:fedoraproject:fedora:34:*:*:*:*:*:*:*" "cpe:2.3:o:fedoraproject:fedora:35:*:*:*:*:*:*:*" "cpe:2.3:a:starwindsoftware:starwind_virtual_san:v8r13:14398:*:*:*:*:*:*"
"Modified","CVE-2021-42694","NVD-CWE-Other" "CWE-94",,,,,"nvd@nist.gov" "134c704f-9b21-4f2e-91b3-4a467353bcc0",8.3 8.3,"HIGH" "HIGH","CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:C/C:H/I:H/A:H" "CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:C/C:H/I:H/A:H",,,,,"nvd@nist.gov",5.1,MEDIUM,"AV:N/AC:H/Au:N/C:P/I:P/A:P","cpe:2.3:a:unicode:unicode:*:*:*:*:*:*:*:*"
"Modified","CVE-2021-40348","CWE-94",,,,,"nvd@nist.gov",8.8,"HIGH","CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",9.3,CRITICAL,"AV:N/AC:M/Au:N/C:C/I:C/A:C","cpe:2.3:a:uyuni-project:uyuni:2021.08:*:*:*:*:*:*:*" "cpe:2.3:a:spacewalk_project:spacewalk:2.10:*:*:*:*:*:*:*"
"Modified","CVE-2015-10001","CWE-352",,,,,"nvd@nist.gov",4.3,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:L/A:N",,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:P/A:N","cpe:2.3:a:wp-stats_project:wp-stats:*:*:*:*:*:wordpress:*:*"
"Modified","CVE-2015-20019","CWE-79",,,,,"nvd@nist.gov",5.4,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N",,,,,"nvd@nist.gov",3.5,LOW,"AV:N/AC:M/Au:S/C:N/I:P/A:N","cpe:2.3:a:content_text_slider_on_post_project:content_text_slider_on_post:*:*:*:*:*:wordpress:*:*"
"Modified","CVE-2015-20067","CWE-862",,,,,"nvd@nist.gov",7.5,"HIGH","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N",,,,,"nvd@nist.gov",5,MEDIUM,"AV:N/AC:L/Au:N/C:P/I:N/A:N","cpe:2.3:a:wp_attachment_export_project:wp_attachment_export:*:*:*:*:*:wordpress:*:*"
"Modified","CVE-2018-25019","CWE-434" "CWE-862" "CWE-434" "CWE-862",,,,,"nvd@nist.gov",7.5,"HIGH","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N",,,,,"nvd@nist.gov",5,MEDIUM,"AV:N/AC:L/Au:N/C:N/I:P/A:N","cpe:2.3:a:learndash:learndash:*:*:*:*:*:wordpress:*:*"
