"Modified","CVE-2008-7303","CWE-264",,,,,,,,,,,,,"nvd@nist.gov",7.6,HIGH,"AV:N/AC:H/Au:N/C:C/I:C/A:C","cpe:2.3:o:apple:mac_os_x:10.5.0:*:*:*:*:*:*:*" "cpe:2.3:o:apple:mac_os_x:10.5.1:*:*:*:*:*:*:*" "cpe:2.3:o:apple:mac_os_x:10.5.2:*:*:*:*:*:*:*" "cpe:2.3:o:apple:mac_os_x:10.5.3:*:*:*:*:*:*:*" "cpe:2.3:o:apple:mac_os_x:10.5.4:*:*:*:*:*:*:*" "cpe:2.3:o:apple:mac_os_x:10.5.5:*:*:*:*:*:*:*" "cpe:2.3:o:apple:mac_os_x:10.5.6:*:*:*:*:*:*:*" "cpe:2.3:o:apple:mac_os_x:10.5.7:*:*:*:*:*:*:*" "cpe:2.3:o:apple:mac_os_x:10.5.8:*:*:*:*:*:*:*"
"Modified","CVE-2011-3892","CWE-415",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:google:chrome:*:*:*:*:*:*:*:*" "cpe:2.3:o:debian:debian_linux:6.0:*:*:*:*:*:*:*"
"Modified","CVE-2011-3893","CWE-125",,,,,,,,,,,,,"nvd@nist.gov",5,MEDIUM,"AV:N/AC:L/Au:N/C:N/I:N/A:P","cpe:2.3:a:google:chrome:*:*:*:*:*:*:*:*"
"Modified","CVE-2011-3894","CWE-119",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:google:chrome:*:*:*:*:*:*:*:*"
"Modified","CVE-2010-4968","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:webmaster-tips:com_wmtpic:1.0:*:*:*:*:*:*:*" "cpe:2.3:a:joomla:joomla\\!:*:*:*:*:*:*:*:*"
"Modified","CVE-2010-4969","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:brotherscripts:business_directory:-:*:*:*:*:*:*:*"
"Modified","CVE-2010-4970","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:wikiwebhelp:wiki_web_help:0.28:*:*:*:*:*:*:*"
"Modified","CVE-2010-4971","CWE-79",,,,,,,,,,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:P/A:N","cpe:2.3:a:videowhisper:php_2_way_video_chat:*:*:*:*:*:*:*:*" "cpe:2.3:a:joomla:joomla\\!:*:*:*:*:*:*:*:*"
"Modified","CVE-2010-4972","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:ypninc:jokescript:*:*:*:*:*:*:*:*"
"Modified","CVE-2010-4973","CWE-79",,,,,,,,,,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:P/A:N","cpe:2.3:a:sourcefabric:campsite:3.4.0:*:*:*:*:*:*:*"
"Modified","CVE-2010-4974","CWE-89",,,,,,,,,,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:brotherscripts:auto_dealer:*:*:*:*:*:*:*:*"
